1,1,11,2
1,2,24,3
1,3,36,4
1,4,46,5
1,5,56,6
1,6,69,7
1,7,79,8
1,8,94,9
1,9,95,10
1,10,113,11
2,2,36,12
2,3,40,13
2,4,58,14
2,5,63,15
2,6,69,16
2,7,78,17
2,8,93,18
2,9,95,19
2,10,112,20
3,1,23,21
3,3,47,22
3,4,54,23
3,5,67,24
3,6,69,25
3,7,78,26
3,8,94,27
3,9,95,28
3,10,112,29
4,1,16,30
4,2,36,31
4,4,51,32
4,5,63,33
4,6,69,34
4,7,79,35
4,8,94,36
4,9,95,37
4,10,112,38
5,1,23,39
5,2,32,40
5,3,40,41
5,5,67,42
5,6,69,43
5,7,78,44
5,8,94,45
5,9,95,46
5,10,112,47
6,1,19,48
6,2,36,49
6,3,43,50
6,4,58,51
6,6,69,52
6,7,79,53
6,8,94,54
6,9,95,55
6,10,112,56
7,1,11,57
7,2,24,58
7,3,35,59
7,4,46,60
7,5,56,61
7,7,90,62
7,8,101,63
7,9,107,64
7,10,120,65
8,1,11,66
8,2,24,67
8,3,35,68
8,4,46,69
8,5,56,70
8,6,81,71
8,8,98,72
8,9,103,73
8,10,124,74
9,1,11,75
9,2,24,76
9,3,35,77
9,4,46,78
9,5,56,79
9,6,77,80
9,7,83,81
9,9,107,82
9,10,118,83
10,1,11,84
10,2,24,85
10,3,35,86
10,4,46,87
10,5,56,88
10,6,81,89
10,7,86,90
10,8,105,91
10,10,124,92
11,1,11,93
11,2,24,94
11,3,35,95
11,4,46,96
11,5,55,97
11,6,77,98
11,7,90,99
11,8,99,100
11,9,107,101
12,3,29,102
12,4,31,103
12,5,40,104
12,6,35,105
12,7,39,106
12,8,47,107
12,9,47,108
12,10,56,109
13,2,24,110
13,4,28,111
13,5,36,112
13,6,35,113
13,7,40,114
13,8,47,115
13,9,48,116
13,10,56,117
14,2,20,118
14,3,22,119
14,5,40,120
14,6,35,121
14,7,39,122
14,8,47,123
14,9,47,124
14,10,56,125
15,2,24,126
15,3,25,127
15,4,35,128
15,6,35,129
15,7,40,130
15,8,47,131
15,9,48,132
15,10,56,133
16,2,12,134
16,3,18,135
16,4,23,136
16,5,28,137
16,7,51,138
16,8,55,139
16,9,59,140
16,10,64,141
17,2,12,142
17,3,18,143
17,4,23,144
17,5,28,145
17,6,46,146
17,8,52,147
17,9,55,148
17,10,68,149
18,2,12,150
18,3,18,151
18,4,23,152
18,5,28,153
18,6,42,154
18,7,44,155
18,9,59,156
18,10,62,157
19,2,12,158
19,3,18,159
19,4,23,160
19,5,28,161
19,6,46,162
19,7,47,163
19,8,59,164
19,10,68,165
